Date,Open,High,Low,Close,Adj Close,Volume
2018-08-27,4495.0,4495.0,4425.0,4440.0,4440.0,652229
2018-08-28,4460.0,4570.0,4455.0,4535.0,4535.0,761832
2018-08-29,4535.0,4565.0,4495.0,4495.0,4495.0,466818
2018-08-30,4515.0,4535.0,4505.0,4525.0,4525.0,396999
2018-08-31,4525.0,4530.0,4475.0,4480.0,4480.0,629086
2018-09-03,4485.0,4510.0,4465.0,4475.0,4475.0,553992
2018-09-04,4475.0,4625.0,4475.0,4620.0,4620.0,942509
2018-09-05,4655.0,4975.0,4640.0,4880.0,4880.0,4341809
2018-09-06,4880.0,4930.0,4800.0,4805.0,4805.0,1266886
2018-09-07,4860.0,4960.0,4800.0,4925.0,4925.0,1583931
2018-09-10,4930.0,4995.0,4910.0,4945.0,4945.0,1107199
2018-09-11,4955.0,4985.0,4920.0,4955.0,4955.0,761675
2018-09-12,4985.0,5110.0,4960.0,5100.0,5100.0,2147538
2018-09-13,5090.0,5210.0,5070.0,5200.0,5200.0,1950347
2018-09-14,5200.0,5240.0,5150.0,5180.0,5180.0,1044350
2018-09-17,5200.0,5230.0,5090.0,5190.0,5190.0,861660
2018-09-18,5170.0,5210.0,5100.0,5200.0,5200.0,919858
2018-09-19,5260.0,5320.0,4895.0,4900.0,4900.0,3135410
2018-09-20,4885.0,5030.0,4885.0,4950.0,4950.0,1007419
2018-09-21,5000.0,5260.0,4970.0,5210.0,5210.0,2901312
2018-09-27,5330.0,5500.0,5270.0,5480.0,5480.0,4360064
2018-09-28,5530.0,5680.0,5420.0,5500.0,5500.0,4701573
2018-10-01,5510.0,5640.0,5470.0,5630.0,5630.0,2302769
2018-10-02,5630.0,5650.0,5420.0,5440.0,5440.0,2040058
2018-10-04,5470.0,5510.0,5370.0,5460.0,5460.0,1457893
2018-10-05,5410.0,5460.0,5260.0,5420.0,5420.0,1262855
2018-10-08,5350.0,5400.0,5190.0,5330.0,5330.0,1395672
2018-10-10,5340.0,5420.0,5090.0,5180.0,5180.0,1966890
2018-10-11,5010.0,5150.0,4935.0,4935.0,4935.0,2414513
2018-10-12,4940.0,5190.0,4930.0,5080.0,5080.0,1522621
2018-10-15,5080.0,5150.0,5020.0,5080.0,5080.0,753955
2018-10-16,5080.0,5130.0,5010.0,5040.0,5040.0,664411
2018-10-17,5100.0,5130.0,4960.0,4985.0,4985.0,950036
2018-10-18,4975.0,4995.0,4765.0,4805.0,4805.0,1682812
2018-10-19,4770.0,4885.0,4650.0,4770.0,4770.0,1182866
2018-10-22,4750.0,4765.0,4675.0,4720.0,4720.0,866928
2018-10-23,4700.0,4735.0,4560.0,4580.0,4580.0,1117722
2018-10-24,4635.0,4780.0,4630.0,4730.0,4730.0,1937670
2018-10-25,4640.0,4670.0,4505.0,4595.0,4595.0,1036321
2018-10-26,4655.0,4655.0,4410.0,4520.0,4520.0,1292973
2018-10-29,4435.0,4525.0,4285.0,4305.0,4305.0,1154031
2018-10-30,4205.0,4330.0,4090.0,4305.0,4305.0,1782857
2018-10-31,4325.0,4325.0,4200.0,4255.0,4255.0,1020534
2018-11-01,4310.0,4460.0,4285.0,4295.0,4295.0,1116447
2018-11-02,4320.0,4430.0,4315.0,4420.0,4420.0,946812
2018-11-05,4400.0,4400.0,4320.0,4360.0,4360.0,916210
2018-11-06,4400.0,4510.0,4360.0,4490.0,4490.0,1204787
2018-11-07,4490.0,4585.0,4370.0,4415.0,4415.0,1491595
2018-11-08,4480.0,4505.0,4420.0,4435.0,4435.0,1029076
2018-11-09,4435.0,4440.0,4350.0,4370.0,4370.0,1066961
2018-11-12,4350.0,4435.0,4350.0,4420.0,4420.0,627846
2018-11-13,4360.0,4450.0,4340.0,4435.0,4435.0,759267
2018-11-14,4430.0,4430.0,4365.0,4380.0,4380.0,881685
2018-11-15,4365.0,4565.0,4360.0,4540.0,4540.0,1164365
2018-11-16,4545.0,4550.0,4460.0,4530.0,4530.0,876523
2018-11-19,4525.0,4595.0,4525.0,4560.0,4560.0,798218
2018-11-20,4495.0,4715.0,4490.0,4700.0,4700.0,1163750
